time,seed,txn,check,result,detail
145000,9,-1,reset_ctrl,PASS,CTRL reset value
175000,9,-1,reset_frame_cfg,PASS,FRAME_CFG reset value
325000,9,0,baud_program,PASS,BAUD_DIV legal write
385000,9,0,frame_config_model_readback,PASS,frame_word=0x0000001a readback=0x0000001a bits=7 parity_en=0 odd=1 stop2=1
535000,9,1,baud_program,PASS,BAUD_DIV legal write
595000,9,1,frame_config_model_readback,PASS,frame_word=0x00000007 readback=0x00000007 bits=8 parity_en=1 odd=0 stop2=0
2030000,9,1,random_tx_frame_configured,PASS,bits=8 pe=1 odd=0 st2=0 exp=0xa0 got=0xa0 parity=0 stop1=1 stop2=0 idle=1
2185000,9,2,baud_program,PASS,BAUD_DIV legal write
2245000,9,2,frame_config_model_readback,PASS,frame_word=0x00000011 readback=0x00000011 bits=6 parity_en=0 odd=0 stop2=1
3325000,9,2,random_rx_frame_configured,PASS,good_rx bits=6 pe=0 st2=1 exp=0x33 got=0x33 status=0x00001803
3475000,9,3,baud_program,PASS,BAUD_DIV legal write
3535000,9,3,frame_config_model_readback,PASS,frame_word=0x0000001f readback=0x0000001f bits=8 parity_en=1 odd=1 stop2=1
7440000,9,3,random_tx_fifo_burst_order,PASS,len=1 cfg_bits=8 got=55_xx_xx_xx exp=55_6d_c5_0c
7615000,9,4,baud_program,PASS,BAUD_DIV legal write
7675000,9,4,frame_config_model_readback,PASS,frame_word=0x0000000a readback=0x0000000a bits=7 parity_en=0 odd=1 stop2=0
12715000,9,4,random_rx_fifo_order0,PASS,RX FIFO oldest byte 0
12745000,9,4,random_rx_fifo_order1,PASS,RX FIFO oldest byte 1
12775000,9,4,random_rx_fifo_order2,PASS,RX FIFO oldest byte 2
12805000,9,4,random_rx_fifo_order3,PASS,RX FIFO oldest byte 3
12805000,9,4,random_rx_fifo_overrun,PASS,status=0x00001893 overrun_bit=1 discarded=0x21
12975000,9,5,baud_program,PASS,BAUD_DIV legal write
13035000,9,5,random_tx_fifo_fill0,PASS,fill accepted
13065000,9,5,random_tx_fifo_fill1,PASS,fill accepted
13095000,9,5,random_tx_fifo_fill2,PASS,fill accepted
13125000,9,5,random_tx_fifo_fill3,PASS,fill accepted
13185000,9,5,random_tx_fifo_full_write_error,PASS,fifo_status=0x00060004 level=4 full=1 extra_err=1
13345000,9,6,baud_program,PASS,BAUD_DIV legal write
13405000,9,6,frame_config_model_readback,PASS,frame_word=0x00000003 readback=0x00000003 bits=8 parity_en=0 odd=0 stop2=0
15755000,9,6,random_fifo_threshold_irq,PASS,rx_thresh=2 irq_before=0 irq_after=1 status=0x00001021 irq_status=0x00000022
15945000,9,7,baud_program,PASS,BAUD_DIV legal write
16005000,9,7,frame_config_model_readback,PASS,frame_word=0x00000003 readback=0x00000003 bits=8 parity_en=0 odd=0 stop2=0
18195000,9,7,random_rx_timeout_irq,PASS,timeout_cycles=12 status=0x00001c23 irq_status=0x0000003a irq_after_clear=0
18365000,9,8,baud_program,PASS,BAUD_DIV legal write
18425000,9,8,frame_config_model_readback,PASS,frame_word=0x00000017 readback=0x00000017 bits=8 parity_en=1 odd=0 stop2=1
20045000,9,8,random_loopback,PASS,bits=8 pe=1 st2=1 exp=0x17 got=0x17 rx_seen=1
20225000,9,9,random_invalid_read,PASS,invalid address read pslverr expected
20255000,9,9,random_invalid_write,PASS,invalid address write pslverr expected
20315000,9,9,random_disabled_txdata_write,PASS,disabled TXDATA pslverr expected
20495000,9,10,baud_program,PASS,BAUD_DIV legal write
20555000,9,10,random_tx_break_low,PASS,TX break forces low
21925000,9,10,random_rx_break_error,PASS,status=0x00001a2b irq=1
22135000,9,11,random_scratch_readback,PASS,scratch_exp=0x47ad038f scratch_got=0x47ad038f
22285000,9,12,baud_program,PASS,BAUD_DIV legal write
22345000,9,12,frame_config_model_readback,PASS,frame_word=0x00000007 readback=0x00000007 bits=8 parity_en=1 odd=0 stop2=0
24145000,9,12,random_rx_parity_error,PASS,parity_error bits=8 exp=0x78 got=0x78 status=0x00001923 irq=1
24315000,9,13,baud_program,PASS,BAUD_DIV legal write
24375000,9,13,frame_config_model_readback,PASS,frame_word=0x0000001d readback=0x0000001d bits=6 parity_en=1 odd=1 stop2=1
26055000,9,13,random_rx_framing_error,PASS,frame_error bits=6 exp=0x0c got=0x0c status=0x0000182b irq=1
26215000,9,14,baud_program,PASS,BAUD_DIV legal write
26275000,9,14,frame_config_model_readback,PASS,frame_word=0x0000001e readback=0x0000001e bits=7 parity_en=1 odd=1 stop2=1
28075000,9,14,random_rx_frame_configured,PASS,good_rx bits=7 pe=1 st2=1 exp=0x40 got=0x40 status=0x00001803
28275000,9,15,baud_program,PASS,BAUD_DIV legal write
28335000,9,15,frame_config_model_readback,PASS,frame_word=0x00000016 readback=0x00000016 bits=7 parity_en=1 odd=0 stop2=1
30695000,9,15,random_rx_parity_error,PASS,parity_error bits=7 exp=0x15 got=0x15 status=0x00001923 irq=1
30895000,9,16,baud_program,PASS,BAUD_DIV legal write
30955000,9,16,frame_config_model_readback,PASS,frame_word=0x0000001c readback=0x0000001c bits=5 parity_en=1 odd=1 stop2=1
32995000,9,16,random_rx_framing_error,PASS,frame_error bits=5 exp=0x15 got=0x15 status=0x0000182b irq=1
